,ggmap_time,numStop,numCustomer,timeEstimation
0,51,8,61,214.0
1,56,9,48,193.0
2,14,1,14,49.0
3,22,3,33,132.0
4,19,2,20,90.0
5,47,7,75,238.0
6,56,9,48,194.0
7,14,1,14,58.0
8,47,7,75,276.0
9,29,4,84,248.0
10,47,7,75,292.0
11,19,2,20,87.0
12,60,10,42,188.0
13,56,9,48,247.0
14,47,7,75,238.0
15,60,10,42,202.0
16,14,1,14,53.0
17,22,3,33,110.0
18,29,4,84,233.0
19,43,6,94,269.0
20,29,4,84,227.0
21,51,8,61,227.0
22,47,7,75,223.0
23,43,6,94,256.0
24,29,4,84,264.0
25,39,5,100,264.0
26,19,2,20,66.0
27,43,6,94,266.0
28,22,3,33,108.0
29,47,7,75,249.0
30,56,9,48,186.0
31,43,6,94,308.0
32,14,1,14,51.0
33,60,10,42,191.0
34,14,1,14,48.0
35,19,2,20,78.0
36,47,7,75,278.0
37,14,1,14,45.0
38,22,3,33,133.0
39,43,6,94,282.0
40,29,4,84,224.0
41,60,10,42,200.0
42,14,1,14,54.0
43,51,8,61,227.0
44,60,10,42,208.0
45,60,10,42,195.0
46,51,8,61,246.0
47,22,3,33,113.0
48,51,8,61,203.0
49,47,7,75,235.0
50,43,6,94,286.0
51,14,1,14,52.0
52,22,3,33,115.0
53,56,9,48,199.0
54,22,3,33,126.0
55,14,1,14,51.0
56,60,10,42,201.0
57,29,4,84,254.0
58,39,5,100,251.0
59,47,7,75,273.0
60,14,1,14,50.0
61,43,6,94,288.0
62,43,6,94,245.0
63,39,5,100,243.0
64,14,1,14,44.0
65,19,2,20,72.0
66,47,7,75,253.0
67,14,1,14,57.0
68,43,6,94,334.0
69,47,7,75,308.0
70,60,10,42,182.0
71,22,3,33,140.0
72,51,8,61,219.0
73,51,8,61,197.0
74,14,1,14,46.0
75,22,3,33,98.0
76,22,3,33,109.0
77,39,5,100,242.0
78,51,8,61,262.0
79,56,9,48,208.0
80,47,7,75,225.0
81,51,8,61,209.0
82,51,8,61,242.0
83,51,8,61,210.0
84,29,4,84,225.0
85,51,8,61,272.0
86,39,5,100,274.0
87,22,3,33,102.0
88,22,3,33,114.0
89,14,1,14,48.0
90,47,7,75,253.0
91,29,4,84,273.0
92,43,6,94,358.0
93,39,5,100,331.0
94,29,4,84,221.0
95,60,10,42,187.0
96,22,3,33,104.0
97,19,2,20,79.0
98,51,8,61,211.0
99,47,7,75,251.0
