,ggmap_time,numStop,numCustomer,timeEstimation
0,51,8,61,253.0
1,56,9,48,229.0
2,14,1,14,62.0
3,22,3,33,122.0
4,19,2,20,90.0
5,47,7,75,273.0
6,56,9,48,184.0
7,14,1,14,56.0
8,47,7,75,249.0
9,29,4,84,212.0
10,47,7,75,261.0
11,19,2,20,85.0
12,60,10,42,222.0
13,56,9,48,186.0
14,47,7,75,245.0
15,60,10,42,191.0
16,14,1,14,61.0
17,22,3,33,96.0
18,29,4,84,233.0
19,43,6,94,279.0
20,29,4,84,257.0
21,51,8,61,208.0
22,47,7,75,239.0
23,43,6,94,243.0
24,29,4,84,232.0
25,39,5,100,313.0
26,19,2,20,71.0
27,43,6,94,269.0
28,22,3,33,108.0
29,47,7,75,275.0
30,56,9,48,212.0
31,43,6,94,287.0
32,14,1,14,56.0
33,60,10,42,234.0
34,14,1,14,57.0
35,19,2,20,78.0
36,47,7,75,223.0
37,14,1,14,49.0
38,22,3,33,96.0
39,43,6,94,273.0
40,29,4,84,222.0
41,60,10,42,236.0
42,14,1,14,58.0
43,51,8,61,207.0
44,60,10,42,202.0
45,60,10,42,187.0
46,51,8,61,206.0
47,22,3,33,96.0
48,51,8,61,234.0
49,47,7,75,245.0
50,43,6,94,313.0
51,14,1,14,47.0
52,22,3,33,105.0
53,56,9,48,190.0
54,22,3,33,109.0
55,14,1,14,45.0
56,60,10,42,221.0
57,29,4,84,217.0
58,39,5,100,321.0
59,47,7,75,262.0
60,14,1,14,46.0
61,43,6,94,311.0
62,43,6,94,284.0
63,39,5,100,280.0
64,14,1,14,60.0
65,19,2,20,79.0
66,47,7,75,257.0
67,14,1,14,55.0
68,43,6,94,286.0
69,47,7,75,230.0
70,60,10,42,199.0
71,22,3,33,105.0
72,51,8,61,232.0
73,51,8,61,218.0
74,14,1,14,51.0
75,22,3,33,107.0
76,22,3,33,101.0
77,39,5,100,283.0
78,51,8,61,206.0
79,56,9,48,191.0
80,47,7,75,303.0
81,51,8,61,228.0
82,51,8,61,197.0
83,51,8,61,332.0
84,29,4,84,239.0
85,51,8,61,239.0
86,39,5,100,386.0
87,22,3,33,120.0
88,22,3,33,98.0
89,14,1,14,50.0
90,47,7,75,226.0
91,29,4,84,273.0
92,43,6,94,280.0
93,39,5,100,265.0
94,29,4,84,261.0
95,60,10,42,232.0
96,22,3,33,105.0
97,19,2,20,99.0
98,51,8,61,211.0
99,47,7,75,223.0
